No_Event,Event,Swimmers,School,Location,Date,TIME,PL,Against,House.name,Month,Spells,Times
6,200 FREE,Phineas Nigellus Black,Hogwarts,Hogwarts,2019-10-20,02:28:6,1,Beauxbatons,Slytherin,October,80.27009320545724,148.06
7,200 IM,Regulus Black,Hogwarts,Hogwarts,2019-10-20,03:28:6,5,Beauxbatons,Slytherin,October,74.03152936652889,208.06
8,200 IM,Bellatrix Lestrange,Hogwarts,Hogwarts,2019-10-20,02:32:7,2,Beauxbatons,Slytherin,October,64.37959492339056,152.07
10,50 FREE,Evan Rosier,Hogwarts,Hogwarts,2019-10-20,00:32:7,5,Beauxbatons,Slytherin,October,197.90894917368257,32.07
11,50 FREE,Rodolphus Lestrange,Hogwarts,Hogwarts,2019-10-20,00:32:4,4,Beauxbatons,Slytherin,October,195.0549313358302,32.04
12,50 FREE,Rabastan Lestrange,Hogwarts,Hogwarts,2019-10-20,00:36:3,6,Beauxbatons,Slytherin,October,182.27324451845683,36.03
13,100 FLY,Miles Bletchley,Hogwarts,Hogwarts,2019-10-20,02:22:9,5,Beauxbatons,Slytherin,October,80.68896474065733,142.09
14,100 FLY,Harry Potter,Hogwarts,Hogwarts,2019-10-20,02:15:8,2,Beauxbatons,Gryffindor,October,27.015102161681966,135.08
15,100 FLY,Ron Weasley,Hogwarts,Hogwarts,2019-10-20,02:37:1,6,Beauxbatons,Gryffindor,October,20.845105407298902,157.01
16,100 FREE,Hermione Granger,Hogwarts,Hogwarts,2019-10-20,02:27:0,4,Beauxbatons,Gryffindor,October,33.513605442176875,147
17,100 FREE,Colin Creevey,Hogwarts,Hogwarts,2019-10-20,02:15:8,5,Beauxbatons,Gryffindor,October,34.015102161681966,135.08
18,100 FREE,Seamus Finnigan,Hogwarts,Hogwarts,2019-10-20,02:25:4,6,Beauxbatons,Gryffindor,October,30.973248758963045,145.04
19,500 FREE,Hannah Abbott,Hogwarts,Hogwarts,2019-10-20,09:44:6,5,Beauxbatons,Hufflepuff,October,19.560764305037157,584.06
20,500 FREE,Pansy Parkinson,Hogwarts,Hogwarts,2019-10-20,06:36:6,1,Beauxbatons,Slytherin,October,44.124349845982934,396.06
21,500 FREE,Zacharias Smith,Hogwarts,Hogwarts,2019-10-20,10:27:8,6,Beauxbatons,Hufflepuff,October,25.473464310773743,627.08
24,100 BACK,Eloise Midgen,Hogwarts,Hogwarts,2019-10-20,02:24:1,6,Beauxbatons,Gryffindor,October,14.719811124227483,144.01
25,100 BACK,Ritchie Coote,Hogwarts,Hogwarts,2019-10-20,02:16:0,2,Beauxbatons,Gryffindor,October,23.764705882352935,136
26,100 BACK,Jack Sloper,Hogwarts,Hogwarts,2019-10-20,02:23:4,5,Beauxbatons,Gryffindor,October,33.955257270693515,143.04
28,100  BREAST,Geoffrey Hooper,Hogwarts,Hogwarts,2019-10-20,02:39:6,5,Beauxbatons,Gryffindor,October,11.434678737583297,159.06
29,100  BREAST,Andrew Kirke,Hogwarts,Hogwarts,2019-10-20,02:17:6,1,Beauxbatons,Gryffindor,October,33.98037355902524,137.06
4,200 FREE,Orla Quirke,Hogwarts,Ilvermorny,2019-11-17,03:05:7,4,Ilvermorny,Ravenclaw,November,39.51680445236937,185.07
5,200 FREE,Stewart Ackerley,Hogwarts,Ilvermorny,2019-11-17,02:17:8,1,Ilvermorny,Ravenclaw,November,52.47505106507148,137.08
6,200 FREE,Susan Bones,Hogwarts,Ilvermorny,2019-11-17,02:20:5,2,Ilvermorny,Hufflepuff,November,43.201535166012135,140.05
8,200 IM,Owen Cauldwell,Hogwarts,Ilvermorny,2019-11-17,02:52:8,1,Ilvermorny,Hufflepuff,November,45.056252905625286,172.08
9,200 IM,Justin Finch-Fletchley,Hogwarts,Ilvermorny,2019-11-17,03:02:3,2,Ilvermorny,Hufflepuff,November,34.967999780256,182.03
10,50 FREE,Wayne Hopkins,Hogwarts,Ilvermorny,2019-11-17,00:34:5,3,Ilvermorny,Hufflepuff,November,154.8428781204112,34.05
11,50 FREE,Megan Jones,Hogwarts,Ilvermorny,2019-11-17,00:29:6,1,Ilvermorny,Hufflepuff,November,177.05781142463866,29.06
12,50 FREE,Laura Madley,Hogwarts,Ilvermorny,2019-11-17,00:33:8,2,Ilvermorny,Hufflepuff,November,164.14873035066506,33.08
14,100 FLY,Rose Zeller,Hogwarts,Ilvermorny,2019-11-17,01:14:8,1,Ilvermorny,Hufflepuff,November,73.49460043196544,74.08
15,100 FLY,Terence Higgs,Hogwarts,Ilvermorny,2019-11-17,01:33:3,2,Ilvermorny,Slytherin,November,84.74610340750294,93.03
16,100 FREE,Adrian Pucey,Hogwarts,Ilvermorny,2019-11-17,01:18:3,3,Ilvermorny,Slytherin,November,97.07791874919903,78.03
17,100 FREE,Tracey Davis,Hogwarts,Ilvermorny,2019-11-17,01:08:5,1,Ilvermorny,Slytherin,November,113.47538574577516,68.05
18,100 FREE,Lilian Moon,Hogwarts,Ilvermorny,2019-11-17,01:17:4,2,Ilvermorny,Hufflepuff,November,72.40134994807892,77.04
20,500 FREE,Theodore Nott,Hogwarts,Ilvermorny,2019-11-17,06:35:2,1,Ilvermorny,Slytherin,November,60.6575869576224,395.02
21,500 FREE,Astoria Greengrass,Hogwarts,Ilvermorny,2019-11-17,08:21:4,2,Ilvermorny,Slytherin,November,40.97924317419767,501.04
24,100 BACK,Oliver Wood,Hogwarts,Ilvermorny,2019-11-17,01:24:7,3,Ilvermorny,Gryffindor,November,41.47424765076722,84.07
25,100 BACK,Marcus Flint,Hogwarts,Ilvermorny,2019-11-17,01:14:4,1,Ilvermorny,Slytherin,November,115.03106428957321,74.04
26,100 BACK,Cedric Diggory,Hogwarts,Ilvermorny,2019-11-17,01:30:0,4,Ilvermorny,Hufflepuff,November,70.55555555555556,90
27,100  BREAST,Angelina Johnson,Hogwarts,Ilvermorny,2019-11-17,01:37:9,2,Ilvermorny,Gryffindor,November,38.498609537542485,97.09
28,100  BREAST,Molly Weasley,Hogwarts,Ilvermorny,2019-11-17,01:32:0,1,Ilvermorny,Gryffindor,November,39.84782608695652,92
29,100  BREAST,Arthur Weasley,Hogwarts,Ilvermorny,2019-11-17,01:43:0,3,Ilvermorny,Gryffindor,November,34.043689320388346,103
4,200 FREE,Rabastan Lestrange,Hogwarts,Hogwarts,2019-11-22,02:55:1,5,Uagadou,Slytherin,November,73.56979601165648,175.01
5,200 FREE,Miles Bletchley,Hogwarts,Hogwarts,2019-11-22,02:43:2,4,Uagadou,Slytherin,November,73.17108330266224,163.02
6,200 FREE,Harry Potter,Hogwarts,Hogwarts,2019-11-22,02:56:1,6,Uagadou,Gryffindor,November,10.90747684790637,176.01
7,200 IM,Ron Weasley,Hogwarts,Hogwarts,2019-11-22,02:43:4,6,Uagadou,Gryffindor,November,30.667320902845923,163.04
8,200 IM,Hermione Granger,Hogwarts,Hogwarts,2019-11-22,02:33:9,2,Uagadou,Gryffindor,November,24.16052648768698,153.09
9,200 IM,Colin Creevey,Hogwarts,Hogwarts,2019-11-22,02:37:1,4,Uagadou,Gryffindor,November,11.845105407298895,157.01
10,50 FREE,Seamus Finnigan,Hogwarts,Hogwarts,2019-11-22,00:33:0,5,Uagadou,Gryffindor,November,151.0151515151515,33
11,50 FREE,Hannah Abbott,Hogwarts,Hogwarts,2019-11-22,00:30:9,3,Uagadou,Hufflepuff,November,166.66816218012627,30.09
12,50 FREE,Pansy Parkinson,Hogwarts,Hogwarts,2019-11-22,00:35:0,6,Uagadou,Slytherin,November,174.85714285714283,35
13,100 FLY,Zacharias Smith,Hogwarts,Hogwarts,2019-11-22,01:40:6,4,Uagadou,Hufflepuff,November,52.47001798920648,100.06
15,100 FLY,Draco Malfoy,Hogwarts,Hogwarts,2019-11-22,01:37:8,3,Uagadou,Slytherin,November,83.0039142974866,97.08
16,100 FREE,Dean Thomas,Hogwarts,Hogwarts,2019-11-22,01:22:0,5,Uagadou,Gryffindor,November,51.475609756097555,82
17,100 FREE,Millicent Bulstrode,Hogwarts,Hogwarts,2019-11-22,01:31:6,6,Uagadou,Slytherin,November,102.40885130683066,91.06
18,100 FREE,Terry Boot,Hogwarts,Hogwarts,2019-11-22,01:14:4,4,Uagadou,Ravenclaw,November,76.0310642895732,74.04
19,500 FREE,Ernie Macmillan,Hogwarts,Hogwarts,2019-11-22,09:04:8,5,Uagadou,Hufflepuff,November,22.68982502573151,544.08
20,500 FREE,Vincent Crabbe,Hogwarts,Hogwarts,2019-11-22,07:20:1,3,Uagadou,Slytherin,November,48.86337810504307,440.01
21,500 FREE,Gregory Goyle,Hogwarts,Hogwarts,2019-11-22,08:22:4,4,Uagadou,Slytherin,November,56.45936578758665,502.04
24,100 BACK,Neville Longbottom,Hogwarts,Hogwarts,2019-11-22,01:26:5,6,Uagadou,Gryffindor,November,58.105752469494476,86.05
25,100 BACK,Ginny Weasley,Hogwarts,Hogwarts,2019-11-22,01:15:1,3,Uagadou,Gryffindor,November,50.157778962804954,75.01
26,100 BACK,Romilda Vane,Hogwarts,Hogwarts,2019-11-22,01:24:4,5,Uagadou,Gryffindor,November,51.495478343645885,84.04
27,100  BREAST,Natalie McDonald,Hogwarts,Hogwarts,2019-11-22,01:41:3,5,Uagadou,Gryffindor,November,36.99025042066714,101.03
28,100  BREAST,Jimmy Peakes,Hogwarts,Hogwarts,2019-11-22,01:16:5,1,Uagadou,Gryffindor,November,64.74621959237345,76.05
29,100  BREAST,Euan Abercrombie,Hogwarts,Hogwarts,2019-11-22,01:37:2,4,Uagadou,Gryffindor,November,41.53576582148011,97.02
4,200 FREE,Laura Madley,Hogwarts,Mahoutokoro,2019-12-15,02:24:6,4,Mahoutokoro,Hufflepuff,December,40.70776065528251,144.06
5,200 FREE,Kevin Whitby,Hogwarts,Mahoutokoro,2019-12-15,02:20:7,1,Mahoutokoro,Hufflepuff,December,36.69643749553795,140.07
6,200 FREE,Rose Zeller,Hogwarts,Mahoutokoro,2019-12-15,02:14:0,5,Mahoutokoro,Hufflepuff,December,45.8134328358209,134
7,200 IM,Terence Higgs,Hogwarts,Mahoutokoro,2019-12-15,02:01:9,2,Mahoutokoro,Slytherin,December,75.29160128829795,121.09
8,200 IM,Adrian Pucey,Hogwarts,Mahoutokoro,2019-12-15,02:02:3,3,Mahoutokoro,Slytherin,December,79.4735310989101,122.03
9,200 IM,Tracey Davis,Hogwarts,Mahoutokoro,2019-12-15,02:23:7,5,Mahoutokoro,Slytherin,December,76.44792758789404,143.07
10,50 FREE,Lilian Moon,Hogwarts,Mahoutokoro,2019-12-15,00:33:4,4,Mahoutokoro,Hufflepuff,December,168.83171912832927,33.04
11,50 FREE,Daphne Greengrass,Hogwarts,Mahoutokoro,2019-12-15,00:28:7,2,Mahoutokoro,Slytherin,December,223.12611328820807,28.07
12,50 FREE,Theodore Nott,Hogwarts,Mahoutokoro,2019-12-15,00:33:7,5,Mahoutokoro,Slytherin,December,194.69443604475356,33.07
13,100 FLY,Astoria Greengrass,Hogwarts,Mahoutokoro,2019-12-15,01:42:2,5,Mahoutokoro,Slytherin,December,93.00999803960009,102.02
14,100 FLY,Malcolm Baddock,Hogwarts,Mahoutokoro,2019-12-15,01:18:4,2,Mahoutokoro,Slytherin,December,103.56970784213223,78.04
15,100 FLY,Graham Pritchard,Hogwarts,Mahoutokoro,2019-12-15,01:31:7,3,Mahoutokoro,Slytherin,December,97.90282200505106,91.07
16,100 FREE,Lucius Malfoy,Hogwarts,Mahoutokoro,2019-12-15,01:14:7,3,Mahoutokoro,Slytherin,December,106.00371270419873,74.07
17,100 FREE,Tom Riddle,Hogwarts,Mahoutokoro,2019-12-15,01:08:5,2,Mahoutokoro,Slytherin,December,110.97538574577516,68.05
18,100 FREE,Percy Weasley,Hogwarts,Mahoutokoro,2019-12-15,01:22:0,6,Mahoutokoro,Gryffindor,December,59.97560975609757,82
19,500 FREE,Bill Weasley,Hogwarts,Mahoutokoro,2019-12-15,09:05:9,4,Mahoutokoro,Gryffindor,December,8.172797152763764,545.09
20,500 FREE,Charlie Weasley,Hogwarts,Mahoutokoro,2019-12-15,08:11:9,2,Mahoutokoro,Gryffindor,December,9.181433138528583,491.09
21,500 FREE,Fred Weasley,Hogwarts,Mahoutokoro,2019-12-15,09:41:2,5,Mahoutokoro,Gryffindor,December,1.1055557467901238,581.02
24,100 BACK,Severus Snape,Hogwarts,Mahoutokoro,2019-12-15,01:28:9,5,Mahoutokoro,Slytherin,December,98.7601316835055,88.09
25,100 BACK,Olive Hornby,Hogwarts,Mahoutokoro,2019-12-15,01:15:7,1,Mahoutokoro,Gryffindor,December,47.60450246436659,75.07
26,100 BACK,Moaning Myrtle,Hogwarts,Mahoutokoro,2019-12-15,01:26:6,4,Mahoutokoro,Ravenclaw,December,59.59900069718802,86.06
28,100  BREAST,Sirius Black,Hogwarts,Mahoutokoro,2019-12-15,01:30:9,1,Mahoutokoro,Gryffindor,December,53.000055500055495,90.09
29,100  BREAST,Peter Pettigrew,Hogwarts,Mahoutokoro,2019-12-15,01:35:2,2,Mahoutokoro,Gryffindor,December,37.12050094716901,95.02
4,200 FREE,Pansy Parkinson,Hogwarts,Hogwarts,2019-10-19,02:45:0,2,Castelobruxo,Slytherin,October,78.3030303030303,165
5,200 FREE,Zacharias Smith,Hogwarts,Hogwarts,2019-10-19,02:19:0,1,Castelobruxo,Hufflepuff,October,45.47122302158273,139
6,200 FREE,Blaise Zabini,Hogwarts,Hogwarts,2019-10-19,02:50:1,3,Castelobruxo,Slytherin,October,77.41003470384095,170.01
8,200 IM,Dean Thomas,Hogwarts,Hogwarts,2019-10-19,02:54:4,1,Castelobruxo,Gryffindor,October,16.72902780969892,174.04
9,200 IM,Millicent Bulstrode,Hogwarts,Hogwarts,2019-10-19,02:55:5,2,Castelobruxo,Slytherin,October,70.56326763781776,175.05
10,50 FREE,Terry Boot,Hogwarts,Hogwarts,2019-10-19,00:29:8,1,Castelobruxo,Ravenclaw,October,172.93947730398907,29.08
11,50 FREE,Ernie Macmillan,Hogwarts,Hogwarts,2019-10-19,00:32:6,2,Castelobruxo,Hufflepuff,October,160.45757953836556,32.06
12,50 FREE,Vincent Crabbe,Hogwarts,Hogwarts,2019-10-19,00:40:3,3,Castelobruxo,Slytherin,October,172.90632025980517,40.03
13,100 FLY,Gregory Goyle,Hogwarts,Hogwarts,2019-10-19,02:25:9,3,Castelobruxo,Slytherin,October,74.96136880556895,145.09
14,100 FLY,Lavender Brown,Hogwarts,Hogwarts,2019-10-19,02:29:4,1,Castelobruxo,Gryffindor,October,31.048040794417616,149.04
15,100 FLY,Katie Bell,Hogwarts,Hogwarts,2019-10-19,02:25:6,2,Castelobruxo,Gryffindor,October,21.968495794843513,145.06
16,100 FREE,Parvati Patil,Hogwarts,Hogwarts,2019-10-19,02:11:7,3,Castelobruxo,Gryffindor,October,19.14755474174106,131.07
17,100 FREE,Dennis Creevey,Hogwarts,Hogwarts,2019-10-19,02:21:5,1,Castelobruxo,Gryffindor,October,30.948422545196735,141.05
18,100 FREE,Eloise Midgen,Hogwarts,Hogwarts,2019-10-19,02:28:3,2,Castelobruxo,Gryffindor,October,20.27693710734311,148.03
19,500 FREE,Ritchie Coote,Hogwarts,Hogwarts,2019-10-19,07:13:2,2,Castelobruxo,Gryffindor,October,6.546810770865086,433.02
20,500 FREE,Jack Sloper,Hogwarts,Hogwarts,2019-10-19,05:54:3,1,Castelobruxo,Gryffindor,October,6.623096912691018,354.03
21,500 FREE,Victoria Frobisher,Hogwarts,Hogwarts,2019-10-19,07:15:3,4,Castelobruxo,Gryffindor,October,3.993460221134171,435.03
24,100 BACK,Roger Davies,Hogwarts,Hogwarts,2019-10-19,02:20:4,2,Castelobruxo,Ravenclaw,October,39.70408454727221,140.04
25,100 BACK,Eddie Carmichael,Hogwarts,Hogwarts,2019-10-19,02:29:3,1,Castelobruxo,Ravenclaw,October,46.55029188753942,149.03
26,100 BACK,Cho Chang,Hogwarts,Hogwarts,2019-10-19,02:22:4,3,Castelobruxo,Ravenclaw,October,54.70135173190651,142.04
27,100  BREAST,Marietta Edgecombe,Hogwarts,Hogwarts,2019-10-19,02:36:2,2,Castelobruxo,Ravenclaw,October,51.547173439302654,156.02
28,100  BREAST,Mandy Brocklehurst,Hogwarts,Hogwarts,2019-10-19,02:28:1,1,Castelobruxo,Ravenclaw,October,49.28150124991554,148.01
29,100  BREAST,Michael Corner,Hogwarts,Hogwarts,2019-10-19,02:39:1,3,Castelobruxo,Ravenclaw,October,31.444563235016666,159.01
4,200 FREE,Theodore Nott,Hogwarts,Durmstrang,2019-11-03,02:41:2,2,Durmstrang,Slytherin,November,70.05204322444416,161.02
5,200 FREE,Astoria Greengrass,Hogwarts,Durmstrang,2019-11-03,02:33:4,1,Durmstrang,Slytherin,November,63.17119707266074,153.04
6,200 FREE,Malcolm Baddock,Hogwarts,Durmstrang,2019-11-03,02:44:6,3,Durmstrang,Slytherin,November,67.97665488236012,164.06
7,200 IM,Graham Pritchard,Hogwarts,Durmstrang,2019-11-03,02:52:8,2,Durmstrang,Slytherin,November,66.05625290562529,172.08
8,200 IM,Lucius Malfoy,Hogwarts,Durmstrang,2019-11-03,03:12:9,4,Durmstrang,Slytherin,November,71.0294653547816,192.09
9,200 IM,Tom Riddle,Hogwarts,Durmstrang,2019-11-03,02:55:7,3,Durmstrang,Slytherin,November,77.06000456960072,175.07
10,50 FREE,Percy Weasley,Hogwarts,Durmstrang,2019-11-03,00:37:0,3,Durmstrang,Gryffindor,November,126.13513513513513,37
11,50 FREE,Bill Weasley,Hogwarts,Durmstrang,2019-11-03,00:26:6,1,Durmstrang,Gryffindor,November,178.8649270913277,26.06
12,50 FREE,Charlie Weasley,Hogwarts,Durmstrang,2019-11-03,00:39:5,4,Durmstrang,Gryffindor,November,125.54097311139566,39.05
13,100 FLY,Fred Weasley,Hogwarts,Durmstrang,2019-11-03,01:13:2,2,Durmstrang,Gryffindor,November,58.974390577923856,73.02
14,100 FLY,George Weasley,Hogwarts,Durmstrang,2019-11-03,01:09:8,1,Durmstrang,Gryffindor,November,70.37984944991315,69.08
15,100 FLY,Aberforth Dumbledore,Hogwarts,Durmstrang,2019-11-03,01:25:7,3,Durmstrang,Gryffindor,November,51.77512636652169,85.07
16,100 FREE,Albus Dumbledore,Hogwarts,Durmstrang,2019-11-03,01:18:9,4,Durmstrang,Gryffindor,November,55.028684850813164,78.09
17,100 FREE,Rubeus Hagrid,Hogwarts,Durmstrang,2019-11-03,01:04:8,2,Durmstrang,Gryffindor,November,74.0274656679151,64.08
18,100 FREE,Oliver Wood,Hogwarts,Durmstrang,2019-11-03,00:56:8,1,Durmstrang,Gryffindor,November,76.1583452211127,56.08
19,500 FREE,Marcus Flint,Hogwarts,Durmstrang,2019-11-03,07:09:5,3,Durmstrang,Slytherin,November,41.65365342034728,429.05
20,500 FREE,Cedric Diggory,Hogwarts,Durmstrang,2019-11-03,06:17:5,1,Durmstrang,Hufflepuff,November,18.260840737302743,377.05
21,500 FREE,Angelina Johnson,Hogwarts,Durmstrang,2019-11-03,07:56:5,4,Durmstrang,Gryffindor,November,9.003098414032138,476.05
24,100 BACK,Lee Jordan,Hogwarts,Durmstrang,2019-11-03,01:16:9,2,Durmstrang,Gryffindor,November,56.71165724799579,76.09
25,100 BACK,Alicia Spinnet,Hogwarts,Durmstrang,2019-11-03,01:10:3,1,Durmstrang,Gryffindor,November,54.89797229758675,70.03
26,100 BACK,Patricia Stimpson,Hogwarts,Durmstrang,2019-11-03,01:25:8,4,Durmstrang,Ravenclaw,November,77.26821814762576,85.08
27,100  BREAST,Madeline Cyr,Hogwarts,Durmstrang,2019-11-03,01:26:4,2,Durmstrang,Hufflepuff,November,77.61250581125057,86.04
28,100  BREAST,Kenneth Towler,Hogwarts,Durmstrang,2019-11-03,01:29:1,3,Durmstrang,Gryffindor,November,53.67346365576901,89.01
29,100  BREAST,Filius Flitwick,Hogwarts,Durmstrang,2019-11-03,01:23:4,1,Durmstrang,Ravenclaw,November,78.71194605009633,83.04
4,200 FREE,Vincent Crabbe,Hogwarts,Hogwarts,2019-11-09,02:50:0,6,Beauxbatons,Slytherin,November,61.41176470588235,170
5,200 FREE,Gregory Goyle,Hogwarts,Hogwarts,2019-11-09,02:11:2,3,Beauxbatons,Slytherin,November,75.66211265455655,131.02
6,200 FREE,Lavender Brown,Hogwarts,Hogwarts,2019-11-09,02:35:2,5,Beauxbatons,Gryffindor,November,30.25390272222939,155.02
7,200 IM,Katie Bell,Hogwarts,Hogwarts,2019-11-09,03:02:6,6,Beauxbatons,Gryffindor,November,14.463473580138412,182.06
8,200 IM,Parvati Patil,Hogwarts,Hogwarts,2019-11-09,02:21:6,1,Beauxbatons,Gryffindor,November,32.94590954203885,141.06
9,200 IM,Dennis Creevey,Hogwarts,Hogwarts,2019-11-09,02:52:1,5,Beauxbatons,Gryffindor,November,15.068077437358298,172.01
10,50 FREE,Eloise Midgen,Hogwarts,Hogwarts,2019-11-09,00:29:3,5,Beauxbatons,Gryffindor,November,160.23561832586978,29.03
11,50 FREE,Ritchie Coote,Hogwarts,Hogwarts,2019-11-09,00:25:6,2,Beauxbatons,Gryffindor,November,46.521149241819614,25.06
12,50 FREE,Jack Sloper,Hogwarts,Hogwarts,2019-11-09,00:30:0,6,Beauxbatons,Gryffindor,November,165.66666666666666,30
13,100 FLY,Victoria Frobisher,Hogwarts,Hogwarts,2019-11-09,01:07:9,2,Beauxbatons,Gryffindor,November,60.526755105082714,67.09
14,100 FLY,Geoffrey Hooper,Hogwarts,Hogwarts,2019-11-09,01:11:5,4,Beauxbatons,Gryffindor,November,55.37297677691767,71.05
15,100 FLY,Andrew Kirke,Hogwarts,Hogwarts,2019-11-09,01:22:3,6,Beauxbatons,Gryffindor,November,50.95330976472023,82.03
16,100 FREE,Demelza Robins,Hogwarts,Hogwarts,2019-11-09,01:04:1,5,Beauxbatons,Gryffindor,November,71.61279487580066,64.01
17,100 FREE,Cormac McLaggen,Hogwarts,Hogwarts,2019-11-09,00:59:3,2,Beauxbatons,Gryffindor,November,70.20269354565477,59.03
18,100 FREE,Neville Longbottom,Hogwarts,Hogwarts,2019-11-09,01:08:9,6,Beauxbatons,Gryffindor,November,56.93222205903949,68.09
19,500 FREE,Ginny Weasley,Hogwarts,Hogwarts,2019-11-09,06:06:6,4,Beauxbatons,Gryffindor,November,2.658963011528165,366.06
20,500 FREE,Romilda Vane,Hogwarts,Hogwarts,2019-11-09,05:37:6,1,Beauxbatons,Gryffindor,November,9.834154156529994,337.06
21,500 FREE,Natalie McDonald,Hogwarts,Hogwarts,2019-11-09,06:47:1,6,Beauxbatons,Gryffindor,November,6.78471044937471,407.01
24,100 BACK,Anthony Goldstein,Hogwarts,Hogwarts,2019-11-09,01:09:8,3,Beauxbatons,Ravenclaw,November,72.37984944991314,69.08
25,100 BACK,Su Li,Hogwarts,Hogwarts,2019-11-09,01:05:0,2,Beauxbatons,Ravenclaw,November,96.92307692307693,65
26,100 BACK,Morag McDougal,Hogwarts,Hogwarts,2019-11-09,01:16:5,6,Beauxbatons,Ravenclaw,November,80.24621959237344,76.05
27,100  BREAST,Padma Patil,Hogwarts,Hogwarts,2019-11-09,01:24:2,5,Beauxbatons,Gryffindor,November,44.50964056177101,84.02
28,100  BREAST,Lisa Turpin,Hogwarts,Hogwarts,2019-11-09,01:05:5,1,Beauxbatons,Ravenclaw,November,86.36395080707148,65.05
29,100  BREAST,Luna Lovegood,Hogwarts,Hogwarts,2019-11-09,01:22:5,4,Beauxbatons,Ravenclaw,November,61.438452163315056,82.05
4,200 FREE,Charlie Weasley,Hogwarts,Ilvermorny,2019-12-08,02:19:5,3,Ilvermorny,Gryffindor,December,35.95828838547284,139.05
5,200 FREE,Fred Weasley,Hogwarts,Ilvermorny,2019-12-08,02:28:5,2,Ilvermorny,Gryffindor,December,13.77237419790611,148.05
6,200 FREE,George Weasley,Hogwarts,Ilvermorny,2019-12-08,02:20:6,4,Ilvermorny,Gryffindor,December,17.698986148793374,140.06
7,200 IM,Aberforth Dumbledore,Hogwarts,Ilvermorny,2019-12-08,02:05:1,3,Ilvermorny,Gryffindor,December,21.996800255979522,125.01
8,200 IM,Albus Dumbledore,Hogwarts,Ilvermorny,2019-12-08,02:22:6,1,Ilvermorny,Gryffindor,December,34.196395889060966,142.06
9,200 IM,Rubeus Hagrid,Hogwarts,Ilvermorny,2019-12-08,02:29:7,2,Ilvermorny,Gryffindor,December,26.041289327161735,149.07
10,50 FREE,Oliver Wood,Hogwarts,Ilvermorny,2019-12-08,00:33:4,4,Ilvermorny,Gryffindor,December,135.3317191283293,33.04
11,50 FREE,Marcus Flint,Hogwarts,Ilvermorny,2019-12-08,00:32:3,2,Ilvermorny,Slytherin,December,189.6036528254761,32.03
12,50 FREE,Cedric Diggory,Hogwarts,Ilvermorny,2019-12-08,00:34:8,5,Ilvermorny,Hufflepuff,December,165.21361502347418,34.08
13,100 FLY,Angelina Johnson,Hogwarts,Ilvermorny,2019-12-08,01:15:6,3,Ilvermorny,Gryffindor,December,61.11337596589395,75.06
14,100 FLY,Molly Weasley,Hogwarts,Ilvermorny,2019-12-08,01:07:3,1,Ilvermorny,Gryffindor,December,64.59346561241234,67.03
15,100 FLY,Arthur Weasley,Hogwarts,Ilvermorny,2019-12-08,01:12:1,2,Ilvermorny,Gryffindor,December,49.43480072212192,72.01
16,100 FREE,James Potter,Hogwarts,Ilvermorny,2019-12-08,01:13:2,3,Ilvermorny,Gryffindor,December,62.474390577923856,73.02
17,100 FREE,Lily Potter,Hogwarts,Ilvermorny,2019-12-08,01:08:5,1,Ilvermorny,Gryffindor,December,55.97538574577516,68.05
18,100 FREE,Severus Snape,Hogwarts,Ilvermorny,2019-12-08,01:08:8,2,Ilvermorny,Slytherin,December,121.94300822561692,68.08
19,500 FREE,Olive Hornby,Hogwarts,Ilvermorny,2019-12-08,06:23:6,3,Ilvermorny,Gryffindor,December,10.552785464418104,383.06
20,500 FREE,Moaning Myrtle,Hogwarts,Ilvermorny,2019-12-08,05:25:5,1,Ilvermorny,Ravenclaw,December,32.38224888478696,325.05
21,500 FREE,Bertha Jorkins,Hogwarts,Ilvermorny,2019-12-08,06:18:5,2,Ilvermorny,Ravenclaw,December,32.225763787858746,378.05
24,100 BACK,Phineas Nigellus Black,Hogwarts,Ilvermorny,2019-12-08,01:23:6,4,Ilvermorny,Slytherin,December,101.19744762822057,83.06
25,100 BACK,Regulus Black,Hogwarts,Ilvermorny,2019-12-08,01:15:7,2,Ilvermorny,Slytherin,December,116.6045024643666,75.07
26,100 BACK,Bellatrix Lestrange,Hogwarts,Ilvermorny,2019-12-08,01:21:6,3,Ilvermorny,Slytherin,December,109.68270416975079,81.06
27,100  BREAST,Narcissa Malfoy,Hogwarts,Ilvermorny,2019-12-08,01:35:2,3,Ilvermorny,Slytherin,December,93.620500947169,95.02
28,100  BREAST,Evan Rosier,Hogwarts,Ilvermorny,2019-12-08,01:33:1,1,Ilvermorny,Slytherin,December,83.7576604666165,93.01
29,100  BREAST,Rodolphus Lestrange,Hogwarts,Ilvermorny,2019-12-08,01:35:5,4,Ilvermorny,Slytherin,December,97.60389268805892,95.05
4,200 FREE,Jack Sloper,Hogwarts,Hogwarts,2019-10-20,03:24:1,4,Uagadou,Gryffindor,October,15.508602519484342,204.01
5,200 FREE,Victoria Frobisher,Hogwarts,Hogwarts,2019-10-20,02:38:8,3,Uagadou,Gryffindor,October,12.129554655870443,158.08
6,200 FREE,Geoffrey Hooper,Hogwarts,Hogwarts,2019-10-20,02:33:0,2,Uagadou,Gryffindor,October,22.6797385620915,153
7,200 IM,Andrew Kirke,Hogwarts,Hogwarts,2019-10-20,03:29:8,5,Uagadou,Gryffindor,October,7.9142911804094105,209.08
